,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,Regexes,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
40,04/24/2022,2023-05-03 16:45:00,,,40.607685,-74.13892,"(40.607685, -74.13892)",STATEN ISLAND EXPRESSWAY,,04.6076.1389,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4521660,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
41,04/24/2022,2023-05-03 04:49:00,,,40.855972,-73.869896,"(40.855972, -73.869896)",BOSTON ROAD,BRONX PARK EAST,04.8559.8698,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4521759,Station Wagon/Sport Utility Vehicle,Sedan,,,
42,04/22/2022,2023-05-03 17:17:00,,,40.790276,-73.9396,"(40.790276, -73.9396)",EAST 107 STREET,,04.7902.9396,,1.0,0.0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,4522226,E-Bike,,,,
43,04/24/2022,2023-05-03 01:30:00,BROOKLYN,11220.0,40.642986,-74.01621,"(40.642986, -74.01621)",,,04.6429.0162,5610      4 AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4522015,Station Wagon/Sport Utility Vehicle,,,,
44,04/24/2022,2023-05-03 06:00:00,QUEENS,11411.0,[40.0180793],[40.1002604],"(0.0, 0.0)",,,04.0180.1002,116-44    234 STREET,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4521460,Sedan,Station Wagon/Sport Utility Vehicle,,,
45,04/24/2022,2023-05-03 21:40:00,BRONX,10452.0,40.843906,-73.92413,"(40.843906, -73.92413)",BOSCOBEL PLACE,UNIVERSITY AVENUE,04.8439.9241,,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4522156,Taxi,Station Wagon/Sport Utility Vehicle,,,
46,04/24/2022,2023-05-03 17:45:00,BRONX,10466.0,40.89481,-73.86183,"(40.89481, -73.86183)",BRONX RIVER PARKWAY,EAST 233 STREET,04.8948.8618,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521633,Sedan,,,,
47,04/15/2022,2023-05-03 06:11:00,,,[41.48493325],[41.58842571],"(0.0, 0.0)",EAST 162 STREET,,04.4849.5884,,1.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4522124,Station Wagon/Sport Utility Vehicle,E-Scooter,,,
48,04/24/2022,2023-05-03 09:51:00,,,40.85169,-73.95238,"(40.85169, -73.95238)",CROSS BRONX EXPY,,04.8516.9523,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4521937,Sedan,,,,
49,04/24/2022,2023-05-03 00:00:00,BRONX,10453.0,40.861862,-73.91275,"(40.861862, -73.91275)",MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,04.8618.9127,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521801,Sedan,,,,
50,03/08/2022,2023-05-03 20:00:00,BROOKLYN,11207.0,40.666256,-73.900215,"(40.666256, -73.900215)",,,03.6662.9002,360       SNEDIKER AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4522285,Sedan,,,,
51,04/24/2022,2023-05-03 15:35:00,MANHATTAN,10019.0,40.767242,-73.986206,"(40.767242, -73.986206)",WEST 56 STREET,9 AVENUE,04.7672.9862,,1.0,0.0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,,,,4521853,Station Wagon/Sport Utility Vehicle,Bike,,,
52,04/22/2022,2023-05-03 12:00:00,BROOKLYN,11230.0,40.62417,-73.97048,"(40.62417, -73.97048)",AVENUE J,OCEAN PARKWAY,04.6241.9704,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4522228,Sedan,Pick-up Truck,,,
53,04/24/2022,2023-05-03 13:10:00,,,40.679955,-73.97491,"(40.679955, -73.97491)",SAINT MARKS AVENUE,6 AVENUE,04.6799.9749,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4521702,Station Wagon/Sport Utility Vehicle,,,,
54,04/24/2022,2023-05-03 04:20:00,BROOKLYN,11221.0,40.692356,-73.94282,"(40.692356, -73.94282)",THROOP AVENUE,DE KALB AVENUE,04.6923.9428,,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4522167,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
55,04/20/2022,2023-05-03 19:37:00,,,40.78291,-73.98578,"(40.78291, -73.98578)",HENRY HUDSON PARKWAY,,04.7829.9857,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4522196,Sedan,Station Wagon/Sport Utility Vehicle,,,
56,04/24/2022,2023-05-03 16:14:00,,,40.67308,-73.91124,"(40.67308, -73.91124)",ROCKAWAY AVENUE,,04.6730.9112,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4521758,Sedan,Sedan,,,
57,04/12/2022,2023-05-03 19:56:00,BROOKLYN,11203.0,40.65011,-73.930214,"(40.65011, -73.930214)",UTICA AVENUE,SNYDER AVENUE,04.6501.9302,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4522136,Station Wagon/Sport Utility Vehicle,,,,
58,04/24/2022,2023-05-03 00:30:00,,,40.638382,-74.03668,"(40.638382, -74.03668)",BELT PARKWAY,,04.6383.0366,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,4521469,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
59,04/24/2022,2023-05-03 20:13:00,QUEENS,11419.0,40.69261,-73.81143,"(40.69261, -73.81143)",,,04.6926.8114,102-24    VANWYCK EXPRESSWAY,0.0,0.0,0,0,0,0,0,0,Aggressive Driving/Road Rage,,,,,4521859,Sedan,,,,
60,04/24/2022,2023-05-03 15:21:00,QUEENS,11101.0,40.745235,-73.937706,"(40.745235, -73.937706)",THOMSON AVENUE,SKILLMAN AVENUE,04.7452.9377,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4521590,Sedan,Sedan,,,
61,04/24/2022,2023-05-03 10:27:00,,,[42.37936128],[40.02190325],,VANWYCK EXPRESSWAY,109 AVENUE,04.3793.0219,,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4521902,Sedan,Station Wagon/Sport Utility Vehicle,,,
