,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,Regexes,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
81,12/10/2021,2023-05-03 08:06:00,,,[39.31676086],[41.61026208],,FLATBUSH AVENUE,GRAND ARMY PLAZA,12.3167.6102,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4485170,Garbage or Refuse,Sedan,,,
82,12/08/2021,2023-05-03 19:30:00,,,[43.0200988],[37.30867729],,OCEAN PARKWAY,,12.0200.3086,,4.0,0.0,0,0,0,0,4,0,Unsafe Speed,Unspecified,,,,4485523,Taxi,Station Wagon/Sport Utility Vehicle,,,
83,12/08/2021,2023-05-03 22:37:00,STATEN ISLAND,10314.0,40.62121,-74.12385,"(40.62121, -74.12385)",,,12.6212.1238,288       MANOR ROAD,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,,,,,4484906,Sedan,,,,
84,12/08/2021,2023-05-03 17:56:00,,,40.873737,-73.90593,"(40.873737, -73.90593)",MAJOR DEEGAN EXPRESSWAY,,12.8737.9059,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4485036,Sedan,,,,
85,12/07/2021,2023-05-03 07:50:00,,,40.66718,-73.95076,"(40.66718, -73.95076)",CARROLL STREET,,12.6671.9507,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4485772,Sedan,Sedan,,,
86,12/08/2021,2023-05-03 00:44:00,QUEENS,11101.0,40.754295,-73.93946,"(40.754295, -73.93946)",23 STREET,40 AVENUE,12.7542.9394,,0.0,0.0,0,0,0,0,0,0,View Obstructed/Limited,,,,,4485565,Sedan,,,,
87,12/08/2021,2023-05-03 15:00:00,,,40.588116,-73.97261,"(40.588116, -73.97261)",AVENUE Y,,12.5881.9726,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,,,,,4484836,Sedan,,,,
88,12/10/2021,2023-05-03 11:00:00,BRONX,10461.0,40.854935,-73.85822,"(40.854935, -73.85822)",,,12.8549.8582,2123      LURTING AVENUE,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4485340,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
89,12/10/2021,2023-05-03 01:10:00,,,40.662575,-73.93448,"(40.662575, -73.93448)",SCHENECTADY AVENUE,,12.6625.9344,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4485706,Station Wagon/Sport Utility Vehicle,Sedan,,,
90,12/09/2021,2023-05-03 00:00:00,,,40.7448,-73.953415,"(40.7448, -73.953415)",47 ROAD,,12.7448.9534,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4485384,Sedan,,,,
91,12/08/2021,2023-05-03 18:36:00,,,40.79672,-73.97618,"(40.79672, -73.97618)",HENRY HUDSON PARKWAY,,12.7967.9761,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4484799,Sedan,Station Wagon/Sport Utility Vehicle,,,
92,12/09/2021,2023-05-03 20:30:00,QUEENS,11004.0,40.752777,-73.70743,"(40.752777, -73.70743)",,,12.7527.7074,269-01    76 AVENUE,0.0,0.0,0,0,0,0,0,0,Illnes,,,,,4485077,Sedan,,,,
93,12/09/2021,2023-05-03 10:13:00,BROOKLYN,11203.0,40.638523,-73.92607,"(40.638523, -73.92607)",KINGS HIGHWAY,FARRAGUT ROAD,12.6385.9260,,2.0,0.0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4485090,Sedan,Sedan,,,
94,03/26/2022,2023-05-03 14:00:00,STATEN ISLAND,10301.0,40.637833,-74.08193,"(40.637833, -74.08193)",CORSON AVENUE,WESTERVELT AVENUE,03.6378.0819,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4513697,Sedan,Sedan,,,
95,03/26/2022,2023-05-03 01:02:00,MANHATTAN,10025.0,40.797836,-73.96946,"(40.797836, -73.96946)",WEST 101 STREET,BROADWAY,03.7978.9694,,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4513935,Sedan,Moped,,,
96,03/26/2022,2023-05-03 16:02:00,QUEENS,11373.0,40.734375,-73.87342,"(40.734375, -73.87342)",QUEENS BOULEVARD,57 AVENUE,03.7343.8734,,1.0,0.0,0,0,0,0,1,0,Lost Consciousness,Unspecified,,,,4513794,Station Wagon/Sport Utility Vehicle,Sedan,,,
97,03/26/2022,2023-05-03 16:05:00,QUEENS,11411.0,40.699947,-73.736626,"(40.699947, -73.736626)",115 AVENUE,221 STREET,03.6999.7366,,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4514267,Station Wagon/Sport Utility Vehicle,Bus,,,
98,03/21/2022,2023-05-03 12:05:00,MANHATTAN,10018.0,40.75632,-73.999275,"(40.75632, -73.999275)",,,03.7563.9992,515       WEST 36 STREET,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4514237,Motorcycle,Sedan,,,
99,03/26/2022,2023-05-03 05:13:00,QUEENS,11418.0,40.69614,-73.81789,"(40.69614, -73.81789)",131 STREET,ATLANTIC AVENUE,03.6961.8178,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4513470,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
